author,author_details,content,created_at,id,updated_at,url
Matthew Dixon,"{'name': 'Matthew Dixon', 'username': 'matthewdixon', 'avatar_path': '/Af7sJr2dLx38npWMIaDzVmdzwd4.jpg', 'rating': None}","I will not say that the film is predictable, because it is not quite so, due to the fact that we only know Andy’s intentions at the end, and during the film, it is important to understand that there was not a hint of it, but let's not forget our guys who so imprudently localized it. I will not be the first, but the word 'redemption' is translated as 'redemption'. I don’t know the reason why our localizers decided to spoil the impression to all Russian-speaking people.",2019-07-30T08:25:48.402Z,5d3fff0c34e1521fb8e86abf,2021-06-23T15:58:24.933Z,https://www.themoviedb.org/review/5d3fff0c34e1521fb8e86abf
JPV852,"{'name': '', 'username': 'JPV852', 'avatar_path': '/xNLOqXXVJf9m7WngUMLIMFsjKgh.jpg', 'rating': 10.0}","First time seeing this in probably close to 20 years, maybe longer. Forgot how excellent of a movie this was, amazing all around from the performances, Morgan Freeman and Tim Robbins especially, with a roller coaster of emotions. The writing (from Stephen King's novel) direction from Frank Darabont was precise and just all around fantastic. This is the very rare 5 star movies I've given but it is easily one of the best movies, right up there in my book with The Godfather. **5.0/5**",2021-09-18T19:56:48.348Z,6146448055c9260067f415ab,2021-09-18T19:56:48.348Z,https://www.themoviedb.org/review/6146448055c9260067f415ab
LƛȤƛƦꪡƬƑ,"{'name': '', 'username': 'LƛȤƛƦꪡƬƑ', 'avatar_path': None, 'rating': None}",No 1 movie for all the time,2023-01-14T18:44:02.525Z,63c2f7f28efe7300a0eb7304,2023-01-17T15:15:23.905Z,https://www.themoviedb.org/review/63c2f7f28efe7300a0eb7304
drystyx,"{'name': '', 'username': 'drystyx', 'avatar_path': '/hLLsAvAnVT0cFU7JuuaaItTWXv8.jpg', 'rating': 3.0}","This is much more predictable and Hollywood than a King novel.
This story of another man wrongfully in prison for murder joins the list of about every other movie about a man sent to prison for murdering his wife.
And therein lies the problem. Most of the time, the killer is the husband, and most of the time the right man is in prison.
Juries are now doomed to consist of several people who are brainwashed by this constant propaganda Hollywood gives us and think accordingly.
People are not gods. They are souls and spirits that can only withstand so much brainwashing. 
Add to that, the story plods along with really nothing new to add. It's a very formula movie.
I won't say it is a ""bad movie"". Those are ones I give 1 or 2 out of 10. But 3/10 is what I call the very boring, unimaginative, safe, non thought provoking movies that you forget about quite quickly.",2023-04-03T15:38:39.540Z,642af2ffc0a30800774eb399,2023-04-03T16:46:12.393Z,https://www.themoviedb.org/review/642af2ffc0a30800774eb399
Sanjeev0805,"{'name': '', 'username': 'Sanjeev0805', 'avatar_path': None, 'rating': None}",This movie is great,2023-06-29T17:48:41.064Z,649dc3f9c072a2014faf13ce,2023-07-07T17:19:18.678Z,https://www.themoviedb.org/review/649dc3f9c072a2014faf13ce
CinemaSerf,"{'name': 'CinemaSerf', 'username': 'Geronimo1967', 'avatar_path': '/1kks3YnVkpyQxzw36CObFPvhL5f.jpg', 'rating': 8.0}","Tim Robbins is wealthy banker ""Andy Dufresne"" who finds himself sentenced to life imprisonment after his wife and her lover are found murdered. The handsome ""new fish"" is initially the target of the ""sisters"" who would use him as they would like - but he fights back and gradually establishes a friendship with prison ""scrounger"" Morgan Freeman (""Red""). When he overhears the beastly prison guard captain bemoaning some tax problems, he, rather riskily, volunteers to help find a tax-free solution and is soon advising pretty much the whole place - including ""Warden Norton"" (Bob Gunton) on all things financial - some above board, some less so. The film is set over a period of over ten years, and depicts some of the most brutal aspects of prison life; but also some it's more hopeful. It deals with violence and desperation but also of bonding and lasting friendships and loyalties that long term close-confinement engender. Frank Darabont elicits the best from his three principals superbly, with added venom provided by guard captain Clancy Brown and humanity from prison librarian James Whitmore - one of the few who actually does make parole. The last half hour is up there with the best cinema has ever had to offer, and this - again on a big screen - is a must see adaptation of one of Stephen King's lesser known, but better, stories that delivers a redemption never, quite, anticipated by the prison service!",2023-08-26T15:36:08.834Z,64ea1be8839018011f8d90b8,2023-08-26T15:36:08.924Z,https://www.themoviedb.org/review/64ea1be8839018011f8d90b8
jkbbr549,"{'name': '', 'username': 'jkbbr549', 'avatar_path': None, 'rating': None}",This is by far the greatest movie of all time!  Even better than the first Godfather!,2015-04-21T11:41:26.541Z,553637669251416518002602,2021-06-23T15:57:34.131Z,https://www.themoviedb.org/review/553637669251416518002602
Matthew Dixon,"{'name': 'Matthew Dixon', 'username': 'matthewdixon', 'avatar_path': '/Af7sJr2dLx38npWMIaDzVmdzwd4.jpg', 'rating': 10.0}","Worthy sequel to the first movie. In something more meditative and unhurried, in something more philosophically meaningful than its legendary predecessor. Backstage games and backstage talks replaced the dramatic mood swings of the main characters and the exchange of fire.

The second film continues the story of Michael Carleone in the role of the Godfather, and also complements the family story with scenes of the formation of the young Vito Andolini and his escape to America. The difficult choice of being young Don, his sphere of expansion of influence opens up new heights and horizons, but also acquires new enemies. Big money and power always keep pace with great temptation, and therefore you should always keep your ears open. After all, the knife in the back can insert exactly the one from whom you do not expect ...",2019-07-30T08:28:10.884Z,5d3fff9ab87aec6aa339e228,2021-06-23T15:58:24.936Z,https://www.themoviedb.org/review/5d3fff9ab87aec6aa339e228
CinemaSerf,"{'name': 'CinemaSerf', 'username': 'Geronimo1967', 'avatar_path': '/1kks3YnVkpyQxzw36CObFPvhL5f.jpg', 'rating': 7.0}","Building on the first volume, this self-adaptation by writer Mario Puzo and director Francis Ford Coppola develops the story of the new Don - ""Michael"" (Al Pacino). His attempts to expand, and to a certain extent legitimise, the family businesses see him associating with the duplicitous ""Hyman Roth"" (Lee Strasberg) in Cuba; subject to betrayal, assassination attempts and fighting what may be a losing battle to keep his own family together - all whilst doing plenty of Machiavellian manipulation of his own. There is an equally strong parallel thread depicting how his father ""Vito"" (Robert de Niro) rose to prominence after fleeing Sicily after the murder of his family at the hands of ""Don Ciccio"". With the principal characters all now well established, we can hit the ground running with a solid and complex set of inter-connected, character-driven storylines. The superior cast deliver this story really effectively - Robert Duvall and Diane Keaton as the consigliere and wife respectively, standing out. The attention to detail alongside the instantly recognisable Nino Rota score add amply to what is just a great story of Michael's efforts to build upon (and honour) his father's legacy, before he loses all of his own, once prevailing, decency. It is long, and it does miss Brando, but Pacino is on super form as the increasingly ruthless and isolated - even lonely - figure and I reckon this is every bit as good at the ""Godfather"" (1972).",2022-04-04T16:39:54.710Z,624b1f5a1c6329004ec03965,2022-04-04T16:39:54.710Z,https://www.themoviedb.org/review/624b1f5a1c6329004ec03965
drystyx,"{'name': '', 'username': 'drystyx', 'avatar_path': '/hLLsAvAnVT0cFU7JuuaaItTWXv8.jpg', 'rating': 4.0}","This Hollywood style formula movie about mobsters isn't as pathetic as the first or third one, simply because it is too dull and poorly directed to stay awake through.
It's basically just a bunch of scenes of people ""talking tough"" or getting killed, with no point.
If you're looking for a plot or story, forget it. There is none. It's a muddled mess. It appears that by the end, the chief mobster is in anguish over whether or not to kill his brother. 
Why? Who knows? None of this makes sense to those of us who aren't born with some super psychic ESP. 
It also appears there's some revenge, but we never know why, or who, or what. It's just a poorly directed and poorly written mess.
It does cure Insomnia, though, which is why it gets a 2 rating instead of a 1.",2023-04-02T16:19:11.302Z,6429aaffc0442901f002ad45,2023-04-03T16:45:18.611Z,https://www.themoviedb.org/review/6429aaffc0442901f002ad45
Mayurpanchamia,"{'name': '', 'username': 'Mayurpanchamia', 'avatar_path': None, 'rating': 8.0}","Directed by Steven Spielberg, the name is enough. He enjoys immense love and justified appreciation. It’s not just a rumour, but his name transcends to million footfalls to theatres and multiple OTT replays. But this movie is special because as a Jew Spielberg felt the pain of Holocaust and thus this was personal. Spielberg’s paternal grandparents were Jews from Ukraine. I really hope things cool down very soon in Ukraine and somebody someday make a film on the crisis in Ukraine.

After watching “The Kashmir Files” I felt like watching the list because I wanted to see how we can make better movies without the propaganda. The Kashmir Files is necessary minus the very few political flaws and propaganda it subtly injects into its viewers. Asking the questions is not anti-national and not all JNU people come with an agenda. Kashmir Files tells many truths and ought to be told but also hides a lot of the actual/factual truths. Just like a dictator it blatantly shows only the side they want to without any iota of balance.

But Schindler’s List is different because it never lets the bleakness of the Holocaust overwhelm its important theme of fighting for the common good. The director says, “My primary purpose in making Schindler’s List was for education. The Holocaust had been treated as just a footnote in so many textbooks or not mentioned at all. Millions knew little if anything about it. Others tried to deny it happened at all.”

Keneally’s best-known work, Schindler’s Ark was published in 1982; also known as Schindler’s List and film released in 1993, tells the true story of Oskar Schindler, a German industrialist who saved more than 1,300 Jews from the Nazis. . Liam Neeson plays very well Schindler however shows his true side that he was a playboy and so on. He was not a saint. He cheated on his wife, drank excessively and spied for Abwehr, the counter-espionage arm of the Wehrmacht (German army), in Czechoslovakia.

But the true characteristics of human beings cannot be spliced even in the most fascist regimes. Sometimes character flaws bring in real joy, excitement and belief. Steven Spielberg’s movie, Schindler’s List, while important, impressive and admirable in many respects, tries to show the true face of propaganda and mass bullshit and how an entire nation can be mass brainwashed to fuel hatred amoung it’s people and bring a great nation down. Something India and Indians need to really ponder upon.

After Germany invaded Poland in 1939, Oskar Schindler sets up an enamelware factory in Krakow that used a combination of Jewish workers interred by the Germans and free Polish workers. His initial interest, of course, was to make money. But as time went on, he grew to care about his Jewish workers, particularly those with whom he came into contact on a daily basis. In addition, helping Jews became a way to fight against what he viewed as disastrous and brutal policies emanating from Adolf Hitler and the SS. Oskar Schindler convinced German authorities his factory was vital and that he needed trained workers. But Schindler did not author or dictate the list instead, Marcel Goldberg, a Jewish “clerk” compiled it. There is a line in the movie which goes like, “That’s not just good old fashioned Jew hate talk. Its policy now” and it hits hard and makes us aware that nothing has changed in present too. Itzhak Stern, played in the movie by Ben Kingsley was one of the most powerful character more of culmination of lot of people at that time. Oskar Schindler was a great man publicly and a not so great man privately but he saved the lives of more than 1,000 Jews during the Holocaust and that’s why a movie has been made on him. The imperfections in his character and the nuances in the historical record only make his story more remarkable.

The movie’s budget was just $22 million. No one had ever made a profitable film about the Holocaust. Spielberg himself didn’t take a salary, calling it “blood money.” Something Vivek Agnihotri and makers of “The Kashmir Files” should ponder upon. As I write this Kashmir Files has already touched 250 Cr. Such sensitive films should come with not just spontanity but also empathy which is found in Spielberg and lacks in Agnihotri’s.

This movie reminded me of another Spielberg movies which moved and caved in Bridge of Spies. Bridge was about the fine art of negotiation and the List is about the fine art of “Gratitude” you will hear this word a lot in the Schindler’s List. I felt both the movies very similar and fantastic.

The use of black and white cinematography also makes me think of “KOTA FACTORY” both shot in black and white to resemble the dark and hollowness of the subject material. Art does make you uncomfortable and that’s it’s Dharma and Karma but propoganda does give you only the bigoted narration with giving the example that his master is always a good guy.

In one scene, Schindler implores Goeth to spray water into the cars on a hot day to help the dehydrated Jews inside. Goeth tells him that to do so would give false hope—a clear implication that the trains deliver Jews to their deaths.The lists become increasingly ominous during sorting exercises to determine who is fit to work or who is “essential” and who is not. Those deemed “unessential” are placed on the list to be evacuated to extermination camps. Stern’s name appears on a list sending him to Auschwitz. When Schindler saves him, an SS officer mentions that it doesn’t matter which Jew gets on the train, and that keeping track of names just means more paperwork. This disregard for names and particularity symbolizes the extent to which the Nazis dehumanized Jews. Schindler’s list is one that saves lives. The Nazis’ lists represent evil and death, but Schindler’s list represents pure good and life. In an ironic twist, the final list in the film is a list that Schindler’s workers give to him—a list of their signatures vouching for Schindler as a good man, to help him if Allied soldiers catch him. The saved in turn become saviors.

The one-armed man who thanks Schindler for employing him and making him “essential” is shot in the head by an SS officer as he shovels snow the next day. Blood flows from his head, staining the surrounding snow. In a later scene, Goeth orders the execution of a Jewish woman engineer who tells Goeth of a fatal construction error. Her blood, too, pours from her head and darkens the snow around her. The blood pouring from the victims’ heads is both literally and metaphorically the lifeblood being bled out of the Jewish race. In yet another scene, Goeth attempts to execute a rabbi working at the Plaszów labor camp. The rabbi stays kneeling as Goeth again and again attempts to shoot him in the head. But the gun jams, and the rabbi is spared, symbolizing the tenuous protection the Schindlerjuden had and the fine line between life and death.

The film talks about the corruption of not just money but hearts and minds too. It shows us privileges and different aspects of life while keeping humanity before profits and ideologies. Intricacies of personal and professional lives are intertwined here for the good sake.

The film ends with – “WHOEVER SAVES ONE LIFE, SAVES THE WORLD ENTIRE.”

The actual Oskar Schindler died in 1974 and was buried in Jerusalem on Mount Zion. He is the only former member of the Nazi Party to be honored in this way. He and his wife Emilie were named Righteous Among the Nations by the Israeli government in 1993, something that would be hard to believe could happen without the film highlighting his life. 

As we all know, Spielberg and the film went on to win several Academy Awards for Schindler’s List, including Best Picture and Best Director. The film also won for Best Screenplay, Best Cinematography, and Best Editing. Spielberg would win another Best Director Oscar for Saving Private Ryan five years later, but for him what happened with Schindler would be his crowning achievement. 

Schindler’s List is a rare movie whose legacy is just as important as its existence.

Perhaps the lasting legacy of the film, aside from tolerance, is the image of the girl in red. During the liquidation of the ghetto scene, we see a little girl wandering. She serves as the person Schindler and the audience fixate on. The weight of the atrocity that we carry as viewers.When prompted to talk about one of the only color moments in the film, the girl in red, Spielberg told USA Today, “In (Thomas Keneally’s) book, Schindler couldn’t get over the fact that a little girl was walking during the liquidation of the Krakow ghetto. While everyone was being put on trucks or shot in the street, one little girl in a red, red coat was being ignored by the SS.”


For Spielberg, that came to symbolize the blind eye world leaders turned to the murders going on in Europe. “To me, that meant that Roosevelt and Eisenhower—and probably Stalin and Churchill—knew about the Holocaust… and did nothing to stop it. It was almost as though the Holocaust itself was wearing red.” Same repeats in Ukraine too.

Spielberg helped develop and found The Shoah Foundation. It furthered the education and established “The Survivors of the Shoah Visual History Foundation” to document the testimonies of thousands of survivors. For Spielberg, he wanted future generations to have these eyewitness accounts to serve as a permanent record. He hoped that there would never be a time we saw Nazism and fascism on the rise again. The project has collected the testimony of more than 55,000 survivors and witnesses to the Holocaust as well as other atrocities. “It wouldn’t have happened without Schindler’s List,” he said. “The Shoah Foundation wouldn’t exist.” Something the Hypocritic Vivek Agnihotri should think about. I still stand by that “The Kashmir files” should be shown to everyone without propoganda and only one agenda that this atrocities and “Genocide” should not be repeated on any one anywhere.

The film is available on Netflix. Go, watch, think.

https://letterboxd.com/mayurpanchamia/film/schindlers-list/

https://mayurpanchamia.wordpress.com/2022/03/27/schindlers-list/

https://www.themoviedb.org/review/62405d62706e56005dc24c03
",2022-03-27T12:38:48.601Z,62405ad8519bbb0089f4148b,2022-03-28T15:40:00.026Z,https://www.themoviedb.org/review/62405ad8519bbb0089f4148b
MohamedElsharkawy,"{'name': '', 'username': 'MohamedElsharkawy', 'avatar_path': None, 'rating': None}",The Dilwale Dulhania Le Jayenge is a film considered by most to be one of the greatest ever made. From The American Film Institute to as voted by users on the Internet Movie Database (IMDB) it is consider to be one of the best.,2017-10-21T12:27:46.145Z,59eb3d42925141565100e901,2021-06-23T15:58:01.939Z,https://www.themoviedb.org/review/59eb3d42925141565100e901
Andres Gomez,"{'name': 'Andres Gomez', 'username': 'tanty', 'avatar_path': None, 'rating': 10.0}",Master piece. Fantastic script and evolution of the characters.,2013-05-13T15:41:51.562Z,519109bf19c29548540227d6,2021-06-23T15:57:21.378Z,https://www.themoviedb.org/review/519109bf19c29548540227d6
John Chard,"{'name': '', 'username': 'John Chard', 'avatar_path': '/utEXl2EDiXBK6f41wCLsvprvMg4.jpg', 'rating': 9.0}","Unlikely, but it is possible.

12 Angry Men is directed by Sidney Lumet and adapted from a teleplay of the same name by Reginald Rose. The cast is headed by Henry Fonda and Lee J. Cobb. The film tells the story of a jury made up of 12 men as they deliberate the guilt or innocence of a defendant on the basis of reasonable doubt. Except for two short scenes at the beginning and end of the film, it's filmed entirely on one set, that of the jury deliberation room.

Sweaty, gritty, claustrophobic - all words that sit snugly in the context of Lumet's excellently crafted deconstruction of 12 men trying to arrive at one verdict in the case of a Puerto Rican youth on trial for the murder of his father. The evidence appears overwhelming, there's witnesses, a murder weapon and motive, the boy is surely on his way to the electric chair. 11 of the men are convinced he's guilty, only one man stands alone, Henry Fonda's juror number 8, who refuses to turn in a vote of guilty until the evidence and facts are discussed at length. As the others rail against him and tempers get frayed, juror number 8 prompts the others to examine their own prejudices and commitment to justice.

A lesson in tight direction and editing, and with performances to match, 12 Angry Men is quite simply not to be missed by those seeking to venture into classic cinema. 9/10",2020-03-29T14:56:48.949Z,5e80b7301d6c5f00141d8798,2021-06-23T15:58:35.983Z,https://www.themoviedb.org/review/5e80b7301d6c5f00141d8798
barrymost,"{'name': '', 'username': 'barrymost', 'avatar_path': '/ibbLLFhqCRY4Dh37WoBGMHSCThT.jpg', 'rating': 10.0}","Jurors:

Martin Balsam

John Fiedler

Lee J. Cobb

E.G. Marshall

Jack Klugman

Edward Binns

Jack Warden

Henry Fonda

Joseph Sweeney

Ed Begley

George Voskovec

Robert Webber

12 jurors deliberate on the guilt or innocence of a young Spanish-American man accused of murdering his father. As the moments tick by, the discussion becomes an expose of each individual man's thoughts, feelings, prejudices, and secrets.

This is Fonda at his best, backed up with excellent support from all 11 of his fellow jurors. Lee J. Cobb is also a standout.

Crackling script by Reginald Rose, with superb direction by Sidney Lumet.  Full of memorable moments and great dialogue and character development; this is one of the greatest courtroom dramas this reviewer has ever seen.",2021-12-06T15:56:24.222Z,61ae32a80d2f53001cd78752,2021-12-06T15:56:24.222Z,https://www.themoviedb.org/review/61ae32a80d2f53001cd78752
AstroNoud,"{'name': '', 'username': 'AstroNoud', 'avatar_path': '/6zLnrhVdSDzTjhwjKxE5xQdk2Wu.jpg', 'rating': 9.0}","A timeless classic in which the characters really come to life. Slowly exposing each man's thoughts, personalities and prejudices, ‘12 Angry Men’ isn't really about solving the crime, but about the power of reasoning, discussion and dialogue.

9/10",2022-03-11T16:04:32.131Z,622b73107707000045a9381e,2022-03-11T16:04:32.131Z,https://www.themoviedb.org/review/622b73107707000045a9381e
